Vaakuna,Kunta-nro[4],Kunnan nimi,Nimitys,Kielet,Kuntakeskus,Maakunta,Seutukunta,Väkiluku[5],Kok.pinta-ala (km²)[6],Maapinta-ala (km²)[6],Väestötiheys(as./km²)
,601,Pihtipudas,kunta,suomi,Pihtiputaan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,3 876,"1 247,50","1 074,92","3,6"
,604,Pirkkala,kunta,suomi,Naistenmatka[17],Pirkanmaa,Tampereen seutukunta,20 009,"103,97","81,42","245,8"
,607,Polvijärvi,kunta,suomi,Polvijärven kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,4 160,"958,32","804,16","5,2"
,608,Pomarkku,kunta,suomi,Pomarkun kirkonkylä,Satakunta,Porin seutukunta,2 022,"332,05","301,18","6,7"
,609,Pori,kaupunki,suomi,Porin keskustaajama,Satakunta,Porin seutukunta,83 620,"1 217,86","1 156,10","72,3"
,611,Pornainen,kunta,suomi,Pornaisten kirkonkylä,Uusimaa,Helsingin seutukunta,5 078,"150,09","146,52","34,7"
,638,Porvoo,kaupunki,"suomi, ruotsi",Porvoon keskustaajama,Uusimaa,Porvoon seutukunta,51 020,"664,62","654,55","77,9"
,614,Posio,kunta,suomi,Ahola,Lappi,Itä-Lapin seutukunta,3 096,"3 544,67","3 039,56",1
,615,Pudasjärvi,kaupunki,suomi,Kurenalus,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,7 677,"5 867,36","5 638,35","1,4"
,616,Pukkila,kunta,suomi,Pukkilan kirkonkylä,Uusimaa,Porvoon seutukunta,1 844,"145,94","145,09","12,7"
,619,Punkalaidun,kunta,suomi,Punkalaitumen kirkonkylä,Pirkanmaa,Lounais-Pirkanmaan seutukunta,2 740,"364,04","361,10","7,6"
,620,Puolanka,kunta,suomi,Puolangan kirkonkylä,Kainuu,Kehys-Kainuun seutukunta,2 459,"2 598,69","2 461,20",1
,623,Puumala,kunta,suomi,Puumalan kirkonkylä,Etelä-Savo,Mikkelin seutukunta,2 133,"1 237,75","794,18","2,7"
,624,Pyhtää,kunta,"suomi, ruotsi",Siltakylä,Kymenlaakso,Kotka–Haminan seutukunta,5 129,"336,40","324,63","15,8"
,625,Pyhäjoki,kunta,suomi,Pyhäjoen kirkonkylä,Pohjois-Pohjanmaa,Raahen seutukunta,3 038,"549,14","543,11","5,6"
,626,Pyhäjärvi,kaupunki,suomi,Pyhäsalmi,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,4 981,"1 459,01","1 310,33","3,8"
,630,Pyhäntä,kunta,suomi,Pyhännän kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta,1 609,"846,85","810,21",2
